batch,network_type,group,pid,sid,status,award,turnout2,turnout2_frac,turnout3,turnout3_frac,p_time_taken,p_total_approvals,p_age,p_sex,p_ethnicity,p_country_of_birth,p_language,p_student_status,p_employment_status
2,repr,201,14,2015,P,18,2,1.0,3,1.0,249.0,1401,26,Male,Mixed,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,201,15,2016,P,21,1,0.5,1,0.3333333333333333,243.0,1907,41,Male,Black,United States,English,No,Full-Time
2,repr,201,16,2017,P,20,0,0.0,0,0.0,183.0,737,28,Female,Mixed,United States,English,No,Full-Time
2,repr,201,17,2018,R,210,2,1.0,3,1.0,254.0,1,29,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,201,18,2019,P,22,2,1.0,3,1.0,87.0,4825,32,Male,White,United States,English,No,Full-Time
2,repr,201,19,2020,R,185,2,1.0,3,1.0,110.0,2867,35,Female,Asian,India,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,201,20,2021,P,21,2,1.0,3,1.0,198.0,6864,29,Male,White,United States,English,No,Full-Time
2,repr,201,21,2022,P,20,2,1.0,3,1.0,571.0,5524,41,Female,White,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2,repr,201,22,2023,R,205,2,1.0,3,1.0,194.0,3809,35,Male,White,Mexico,English,No,Full-Time
2,repr,201,23,2024,R,195,1,0.5,1,0.3333333333333333,253.0,989,25,Female,Mixed,United States,English,No,Part-Time
2,repr,207,0,2145,P,20,2,1.0,3,1.0,271.0,5301,42,Female,White,United States,English,No,Full-Time
2,repr,207,1,2146,R,195,2,1.0,3,1.0,373.0,4641,40,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,207,2,2147,P,18,2,1.0,3,1.0,161.0,735,33,Male,White,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2,repr,207,3,2148,R,200,1,0.5,2,0.6666666666666666,194.0,4783,36,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,207,4,2149,P,19,2,1.0,3,1.0,316.0,2748,39,Male,Asian,China,Chinese,No,DATA_EXPIRED
2,repr,207,5,2150,P,18,2,1.0,3,1.0,174.0,569,34,Male,White,Spain,English,No,Full-Time
2,repr,207,6,2151,P,19,2,1.0,3,1.0,281.0,5336,63,Female,White,United States,English,No,Full-Time
2,repr,207,7,2152,R,210,2,1.0,3,1.0,170.0,15,31,Male,White,United States,English,No,DATA_EXPIRED
2,repr,207,8,2153,P,22,0,0.0,0,0.0,195.0,839,37,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,207,9,2154,P,20,2,1.0,3,1.0,177.0,6,53,Female,White,United States,English,No,DATA_EXPIRED
2,repr,207,10,2155,P,22,2,1.0,3,1.0,138.0,75,42,Female,White,United States,English,No,Part-Time
2,repr,207,11,2156,P,18,2,1.0,3,1.0,247.0,1467,48,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,207,12,2157,R,220,2,1.0,3,1.0,505.0,3097,59,Male,Asian,Bangladesh,Bengali,No,Full-Time
2,repr,207,13,2158,P,21,2,1.0,3,1.0,550.0,1565,38,Male,White,United States,English,No,Full-Time
2,repr,207,14,2159,R,185,2,1.0,3,1.0,271.0,36,37,Female,White,United States,English,No,DATA_EXPIRED
2,repr,207,15,2160,P,22,2,1.0,3,1.0,202.0,1971,39,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,207,16,2161,R,215,2,1.0,3,1.0,144.0,2023,37,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,207,17,2162,R,180,1,0.5,2,0.6666666666666666,273.0,2,55,Female,White,United States,English,No,DATA_EXPIRED
2,repr,207,18,2163,P,20,1,0.5,2,0.6666666666666666,249.0,4211,32,Male,Other,United States,English,No,Full-Time
2,repr,207,19,2164,P,19,2,1.0,3,1.0,245.0,3120,23,Male,Asian,United States,English,No,Full-Time
2,repr,207,20,2165,R,190,2,1.0,3,1.0,141.0,910,25,Female,White,United States,English,No,DATA_EXPIRED
2,repr,207,21,2166,P,21,2,1.0,3,1.0,150.0,2260,54,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,207,22,2167,P,21,2,1.0,3,1.0,262.0,392,45,Male,White,United States,English,No,Full-Time
2,repr,207,23,2168,R,205,1,0.5,2,0.6666666666666666,252.0,1870,37,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,213,0,2289,R,210,1,0.5,1,0.3333333333333333,235.0,413,28,Male,Black,United States,English,No,Full-Time
2,repr,213,1,2290,P,18,2,1.0,3,1.0,477.0,5140,56,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,213,2,2291,P,19,2,1.0,3,1.0,190.0,1879,39,Male,White,United States,English,No,Full-Time
2,repr,213,3,2292,P,21,2,1.0,3,1.0,251.0,2932,34,Female,White,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2,repr,213,4,2293,R,200,2,1.0,3,1.0,269.0,3487,37,Female,White,United States,English,Yes,Part-Time
2,repr,213,5,2294,P,22,2,1.0,3,1.0,45.0,43,44,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,213,6,2295,R,215,2,1.0,3,1.0,385.0,556,38,Male,Black,United States,English,No,Full-Time
2,repr,213,7,2296,P,20,2,1.0,3,1.0,751.0,14,34,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,213,8,2297,P,22,0,0.0,0,0.0,506.0,23,30,Female,Mixed,United States,English,No,DATA_EXPIRED
2,repr,213,9,2298,P,18,2,1.0,3,1.0,132.0,1954,38,Male,Mixed,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,213,10,2299,R,185,2,1.0,3,1.0,196.0,2817,38,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,213,11,2300,P,20,1,0.5,2,0.6666666666666666,215.0,1597,43,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,213,12,2301,R,205,2,1.0,3,1.0,90.0,1178,42,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,213,13,2302,R,220,2,1.0,3,1.0,270.0,6467,37,Male,White,United States,English,No,DATA_EXPIRED
2,repr,213,14,2303,R,190,2,1.0,2,0.6666666666666666,364.0,3971,40,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,213,15,2304,P,19,2,1.0,3,1.0,149.0,921,24,Female,White,United States,English,No,Full-Time
2,repr,213,16,2305,P,21,1,0.5,2,0.6666666666666666,477.0,1243,29,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,213,17,2306,P,18,2,1.0,3,1.0,189.0,1505,25,Male,White,United States,English,No,Unemployed (and job seeking)
2,repr,213,18,2307,P,19,1,0.5,2,0.6666666666666666,167.0,1135,26,Male,White,United States,English,No,DATA_EXPIRED
2,repr,213,19,2308,R,180,2,1.0,3,1.0,253.0,483,32,Male,White,United States,English,No,DATA_EXPIRED
2,repr,213,20,2309,P,20,2,1.0,3,1.0,339.0,4792,41,Male,Mixed,United States,English,No,Full-Time
2,repr,213,21,2310,P,22,2,1.0,3,1.0,305.0,148,18,Male,White,Uzbekistan,English,Yes,Unemployed (and job seeking)
2,repr,213,22,2311,R,195,1,0.5,1,0.3333333333333333,311.0,267,26,Male,White,United States,English,No,Part-Time
2,repr,213,23,2312,P,21,1,0.5,2,0.6666666666666666,187.0,281,39,Male,Other,United States,English,No,DATA_EXPIRED
3,repr,301,0,3001,P,21,2,1.0,3,1.0,320.0,2093,62,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,301,1,3002,P,20,2,1.0,3,1.0,184.0,2860,49,Male,White,United States,English,No,Full-Time
3,repr,301,2,3003,P,21,2,1.0,3,1.0,119.0,737,22,Female,White,United States,English,No,Unemployed (and job seeking)
3,repr,301,3,3004,P,18,2,1.0,3,1.0,629.0,4,44,Male,White,United States,English,Yes,Full-Time
3,repr,301,4,3005,R,195,2,1.0,3,1.0,385.0,1349,32,Female,Black,United States,English,No,Full-Time
3,repr,301,5,3006,P,22,2,1.0,3,1.0,152.0,194,32,Female,Mixed,United States,English,No,Unemployed (and job seeking)
3,repr,301,6,3007,P,21,2,1.0,3,1.0,296.0,1194,43,Male,White,United States,English,No,DATA_EXPIRED
3,repr,301,7,3008,P,20,2,1.0,3,1.0,240.0,7523,38,Male,White,United States,English,Yes,Full-Time
3,repr,301,8,3009,R,220,0,0.0,0,0.0,420.0,1430,36,Female,White,United States,English,Yes,Full-Time
3,repr,301,9,3010,P,18,1,0.5,2,0.6666666666666666,161.0,633,54,Female,White,United States,English,DATA_EXPIRED,Full-Time
3,repr,301,10,3011,P,19,0,0.0,0,0.0,147.0,3532,23,Female,White,United States,English,Yes,Part-Time
3,repr,301,11,3012,R,215,2,1.0,3,1.0,259.0,108,28,Male,White,United States,English,Yes,Full-Time
3,repr,301,12,3013,R,200,0,0.0,0,0.0,464.0,1084,68,Female,White,Germany,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
3,repr,301,13,3014,R,180,1,0.5,2,0.6666666666666666,391.0,3161,27,Female,Black,United States,English,No,Full-Time
3,repr,301,14,3015,P,19,2,1.0,3,1.0,315.0,331,57,Male,White,United States,English,No,Other
3,repr,301,15,3016,P,22,2,1.0,3,1.0,385.0,669,56,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,301,16,3017,P,18,2,1.0,3,1.0,96.0,1135,23,Male,Other,United States,Spanish,Yes,Full-Time
3,repr,301,17,3018,P,19,2,1.0,3,1.0,208.0,3088,59,Female,White,United States,English,DATA_EXPIRED,Full-Time
3,repr,301,18,3019,P,20,0,0.0,0,0.0,139.0,571,33,Female,Black,United States,English,No,DATA_EXPIRED
3,repr,301,19,3020,R,185,2,1.0,3,1.0,429.0,1803,73,Female,White,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
3,repr,301,20,3021,P,22,1,0.5,1,0.3333333333333333,461.0,8,64,Male,Black,Nigeria,English,No,DATA_EXPIRED
3,repr,301,21,3022,R,205,2,1.0,3,1.0,160.0,488,27,Male,White,United States,English,No,Full-Time
3,repr,301,22,3023,R,210,2,1.0,3,1.0,435.0,4876,55,Female,Mixed,Brazil,English,No,Full-Time
3,repr,301,23,3024,R,190,2,1.0,3,1.0,105.0,3258,29,Male,White,Bosnia and Herzegovina,English,No,Full-Time
3,repr,307,0,3145,P,22,2,1.0,3,1.0,320.0,156,32,Male,White,United States,English,Yes,Part-Time
3,repr,307,1,3146,P,19,2,1.0,3,1.0,153.0,3274,46,Prefer not to say,White,United States,English,DATA_EXPIRED,Full-Time
3,repr,307,2,3147,P,20,0,0.0,0,0.0,851.0,2887,40,Female,White,United States,English,No,DATA_EXPIRED
3,repr,307,3,3148,P,20,2,1.0,3,1.0,500.0,5270,41,Male,Black,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,307,4,3149,R,195,1,0.5,2,0.6666666666666666,202.0,4984,26,Female,White,United States,English,No,Full-Time
3,repr,307,5,3150,P,21,2,1.0,3,1.0,1004.0,373,54,Female,Black,United States,English,No,Part-Time
3,repr,307,6,3151,P,22,2,1.0,3,1.0,347.0,1658,41,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,307,7,3152,R,200,2,1.0,3,1.0,186.0,1465,34,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,307,8,3153,P,18,2,1.0,3,1.0,238.0,1248,30,Male,White,United States,English,No,Full-Time
3,repr,307,9,3154,P,21,2,1.0,3,1.0,138.0,399,40,Female,White,United States,English,Yes,Full-Time
3,repr,307,10,3155,R,190,2,1.0,3,1.0,336.0,4081,62,Male,White,United States,English,No,Full-Time
3,repr,307,11,3156,P,19,2,1.0,3,1.0,292.0,4043,43,Male,White,United States,English,No,Full-Time
3,repr,307,12,3157,R,215,0,0.0,0,0.0,128.0,3871,49,Male,Black,United States,English,No,Full-Time
3,repr,307,13,3158,P,20,2,1.0,3,1.0,492.0,531,56,Female,Black,United States,English,Yes,Unemployed (and job seeking)
3,repr,307,14,3159,P,19,2,1.0,3,1.0,443.0,6048,51,Female,White,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
3,repr,307,15,3160,R,180,2,1.0,3,1.0,149.0,40,51,Female,White,United States,English,No,Full-Time
3,repr,307,16,3161,P,22,0,0.0,0,0.0,296.0,1755,48,Male,Black,United States,English,DATA_EXPIRED,Full-Time
3,repr,307,17,3162,R,185,1,0.5,1,0.3333333333333333,169.0,2593,27,Female,Asian,United States,English,No,Full-Time
3,repr,307,18,3163,R,205,2,1.0,3,1.0,224.0,13,31,Male,Asian,United States,English,No,Full-Time
3,repr,307,19,3164,P,21,2,1.0,3,1.0,277.0,2424,47,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,307,20,3165,P,18,1,0.5,1,0.3333333333333333,248.0,1148,47,Female,Asian,Taiwan,Chinese,No,Part-Time
3,repr,307,21,3166,P,18,0,0.0,0,0.0,144.0,3357,38,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,307,22,3167,R,220,2,1.0,3,1.0,283.0,97,22,Male,Asian,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,307,23,3168,R,210,2,1.0,3,1.0,64.0,3639,35,Male,Asian,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
3,repr,313,0,3289,R,180,2,1.0,3,1.0,454.0,1330,50,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,313,1,3290,P,19,2,1.0,3,1.0,110.0,1884,29,Female,White,United States,English,No,Full-Time
3,repr,313,2,3291,R,200,0,0.0,0,0.0,270.0,97,31,Male,Black,United States,English,Yes,Other
3,repr,313,3,3292,P,18,2,1.0,3,1.0,257.0,2194,41,Female,White,United States,English,No,DATA_EXPIRED
3,repr,313,4,3293,R,220,2,1.0,3,1.0,422.0,318,40,Female,Black,United States,English,No,Full-Time
3,repr,313,5,3294,R,205,2,1.0,3,1.0,118.0,5215,35,Male,Asian,China,Chinese,No,DATA_EXPIRED
3,repr,313,6,3295,P,19,2,1.0,3,1.0,164.0,108,25,Male,Black,United States,English,Yes,Part-Time
3,repr,313,7,3296,R,215,2,1.0,3,1.0,263.0,3844,37,Male,Black,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,313,8,3297,P,22,0,0.0,0,0.0,433.0,3160,47,Male,Black,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,313,9,3298,R,185,2,1.0,3,1.0,416.0,4638,63,Male,White,United States,English,No,Part-Time
3,repr,313,10,3299,P,18,2,1.0,3,1.0,212.0,1518,38,Male,Asian,Taiwan,Mandarin,No,DATA_EXPIRED
3,repr,313,11,3300,P,21,2,1.0,3,1.0,388.0,3018,33,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,313,12,3301,P,20,2,1.0,3,1.0,356.0,1946,42,Female,White,United States,English,No,Full-Time
3,repr,313,13,3302,P,22,0,0.0,0,0.0,522.0,3515,63,Female,White,United States,English,No,Part-Time
3,repr,313,14,3303,R,210,2,1.0,3,1.0,395.0,410,26,Male,Asian,United States,English,No,Full-Time
3,repr,313,15,3304,R,190,2,1.0,3,1.0,613.0,39,40,Male,Black,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,313,16,3305,R,195,2,1.0,3,1.0,264.0,170,22,Female,Black,United States,English,Yes,Unemployed (and job seeking)
3,repr,313,17,3306,P,20,2,1.0,3,1.0,474.0,2056,37,Female,White,Iraq,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
3,repr,313,18,3307,P,20,2,1.0,3,1.0,325.0,2035,55,Male,White,United States,English,No,Full-Time
3,repr,313,19,3308,P,21,1,0.5,2,0.6666666666666666,385.0,113,36,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,313,20,3309,P,22,2,1.0,3,1.0,68.0,4541,28,Male,Asian,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,313,21,3310,P,19,2,1.0,3,1.0,180.0,2239,34,Male,Black,United States,English,No,Full-Time
3,repr,313,22,3311,P,21,2,1.0,3,1.0,314.0,12,28,Female,White,United States,English,No,Unemployed (and job seeking)
3,repr,313,23,3312,P,18,0,0.0,0,0.0,152.0,531,37,Male,White,United States,English,No,DATA_EXPIRED
3,repr,319,0,3433,P,20,2,1.0,3,1.0,51.0,631,33,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
3,repr,319,1,3434,R,215,2,1.0,3,1.0,410.0,32,45,Male,Black,United States,English,No,Unemployed (and job seeking)
