sid,age,gender, race,education,religion,politics,income,percentile,tax,award_satisfied,award_dist_fair,result_satisfied,result_dist_fair,rationale,group_feel,network_type,group,status,batch
1014,39.0,M,W,HS,PR,1.0,1.0,85.0,1.0,-1.0,1.0,1.0,0.0,"I figured if I voted for higher taxes, it would raise the median and I could slowly get to a higher score than I started.","Ok, I think some just slid it to the max to get the task down quickly and get it over with as soon as possible.",repr,1,P,1
1015,54.0,F,W,BA,O,2.0,2.0,80.0,10.0,0.0,0.0,-1.0,0.0,I think that the income rate should never be highter than 10% and I was not influence to change that even if I would get a bonus,I feel that some of them were swayed by how others were voting,repr,1,P,1
1016,,,,,,,,,,,,,,,,repr,1,P,1
1017,,,,,,,,,,,,,,,,repr,1,P,1
1018,,,,,,,,,,,,,,,,repr,1,R,1
1019,68.0,F,W,MA,JE,-1.0,2.0,80.0,20.0,-2.0,-2.0,1.0,1.0,"I thought that as long as my score remained below the average of the group, the higher the tax rate, the more I would benefit. In a real world situation, though, where other factors come into play, I wouldn't have wanted a 100% tax rate, which is what I voted for in the game.","Was about what I expected. The lower scores went up, and the higher scores went down. Seems fair.",repr,1,P,1
1020,31.0,M,W,BA,CA,1.0,3.0,35.0,2.0,1.0,2.0,2.0,2.0,I tried to gauge what would  be best for my own payout.,I felt good overall.,repr,1,P,1
1021,38.0,M,W,BA,NR,-2.0,3.0,30.0,25.0,1.0,1.0,1.0,1.0,I just tried to go with what the group wanted.,"I feel fine, honestly. I don't know them and I don't even know for a fact that they're real.",repr,1,R,1
1022,,,,,,,,,,,,,,,,repr,1,R,1
1023,,,,,,,,,,,,,,,,repr,1,P,1
1024,,,,,,,,,,,,,,,,repr,1,P,1
1025,29.0,M,H,BA,O,0.0,4.0,44.0,15.0,2.0,2.0,2.0,1.0,I tried to vote for the most average rate as possible.,I think everybody did a good job in this task.,segr,2,P,1
1026,28.0,M,W,HS,PR,1.0,3.0,55.0,15.0,0.0,1.0,1.0,1.0,I tried to make a fair choice for all the participants,I am more pleased than I expected to be,segr,2,P,1
1027,51.0,M,W,BA,NR,-1.0,5.0,20.0,20.0,0.0,0.0,0.0,0.0,trying earn most possible,they didn't vote in their own interests.,segr,2,P,1
1028,35.0,F,W,MA,PR,-1.0,6.0,15.0,25.0,2.0,1.0,1.0,1.0,I voted for a tax rate similar to what I think the tax rate should be in general (around 25%). I did not really change this during the rounds of voting because the median rate of my group was in a similar area.,"I feel like my group members' voting decisions were likely somewhat similar to my own, given that the median was generally fairly close to what I voted for.",segr,2,R,1
1029,37.0,F,W,BA,PR,1.0,4.0,45.0,8.0,0.0,0.0,0.0,1.0,I was trying to keep as many of my points as possible,"I’m not sure why they thought it was necessary to choose a tax at all, why would you give your money away?",segr,2,R,1
1030,26.0,M,W,BA,NR,0.0,3.0,50.0,5.0,2.0,0.0,0.0,1.0,I had a number that was high and I liked so I wanted the tax to be little,I wish the % was lower,segr,2,R,1
1031,,,,,,,,,,,,,,,,segr,2,P,1
1032,39.0,M,W,BA,NR,-2.0,4.0,40.0,20.0,0.0,1.0,1.0,1.0,I wanted to maximize my score. I did that by voting for the maximum tax at first because I could only go up from there. Then I voted for high taxes because everyone had evened out.,"I have no idea what others did, we ended up pretty much all the same, which is fine.",segr,2,P,1
1033,35.0,F,W,BA,O,0.0,5.0,12.0,15.0,1.0,0.0,1.0,0.0,My opinion and others voting,Positive.,segr,2,P,1
1034,26.0,F,W,BA,CA,1.0,3.0,50.0,2.0,1.0,0.0,-1.0,0.0,I kind of went with the crowd.,I feel neutral about the other group members and their voting decisions.,segr,2,P,1
1035,57.0,F,W,BA,NR,-1.0,5.0,22.0,35.0,2.0,1.0,2.0,1.0,To pay the least amount for the most possible gains,They were very similar to my decisions,segr,2,R,1
1036,60.0,F,B,AS,NR,-1.0,2.0,55.0,10.0,-1.0,1.0,-1.0,2.0,Best rate,They did better than me,segr,2,P,1
1037,34.0,F,B,BA,O,0.0,2.0,60.0,15.0,2.0,1.0,1.0,1.0,I tried to think logically and in a practical sense.,I feel the other group members votes were pretty decent and not too far off from the actual value.,segr,2,R,1
1038,32.0,F,W,MA,NR,-2.0,6.0,25.0,25.0,1.0,0.0,2.0,1.0,I tried to make the scores as even as possible for the largest amount of people,I am happy with their decisions and think the outcomes are fair,segr,2,P,1
1039,26.0,F,W,BA,CA,2.0,6.0,30.0,15.0,0.0,0.0,-1.0,0.0,I wanted the participants to receive the most bonus possible,It seemed very different each round,segr,2,R,1
1040,28.0,M,W,HS,NR,0.0,2.0,80.0,15.0,-1.0,1.0,0.0,1.0,I was trying to keep the % lower,I think they made good decisions the final % is one I am happy with,segr,2,P,1
1041,37.0,F,W,BA,NR,0.0,5.0,60.0,,1.0,0.0,0.0,0.0,,,segr,2,R,1
1042,38.0,M,B,AS,NR,-1.0,2.0,60.0,7.0,0.0,1.0,0.0,1.0,To get equality tax,Think they voted well,segr,2,R,1
1043,,,,,,,,,,,,,,,,segr,2,R,1
1044,36.0,F,W,MA,PR,0.0,5.0,55.0,2.0,0.0,1.0,1.0,2.0,I tried different numbers to see how it would impact the score,I felt fine with them and their decisions,segr,2,P,1
1045,26.0,F,B,BA,CA,1.0,2.0,80.0,20.0,1.0,2.0,1.0,1.0,To help prevent outrageous income tax,Everyone's make a decision based on their experience and it was fair.,segr,2,P,1
1046,51.0,M,W,BA,NR,-1.0,6.0,15.0,15.0,-1.0,-1.0,1.0,1.0,"I assumed that the lower the tax, the higher the eventual award",I was surprised by how high of a number they entered for the tax,segr,2,P,1
1047,49.0,M,W,AS,CA,-2.0,2.0,85.0,40.0,-1.0,0.0,-2.0,-1.0,Distribute the score values evenly among the participants,I am disappoint. They must not have understood the assignment,segr,2,P,1
1048,27.0,F,W,MA,NR,-1.0,2.0,70.0,4.0,-2.0,-1.0,-1.0,-1.0,i wanted to even out my score as I felt that mine was low compared to others,i think they must have voted lower than i did,segr,2,P,1
1049,,,,,,,,,,,,,,,,poor,3,P,1
1050,,,,,,,,,,,,,,,,poor,3,R,1
1051,,,,,,,,,,,,,,,,poor,3,P,1
1052,35.0,O,N,AS,O,-1.0,2.0,80.0,20.0,-1.0,-1.0,0.0,0.0,"I tried to be fair, without taxing the top earners too much. That being said, I still see how unfair the wealth disparity is here in America.",I supported them. They seemed to want a higher tax rate than me but it all worked out.,poor,3,P,1
1053,,,,,,,,,,,,,,,,poor,3,R,1
1054,21.0,M,W,HS,PR,-1.0,3.0,35.0,13.0,1.0,-2.0,-1.0,-2.0,"Some luck is okay I guess, but the difference between the lowest amount of point holders (from what I saw) and the highest were quite large. With a tax of 60% (roughly), I still get to keep a large amount, and those at the lowest bracket get an OK amount as well. If the tax is too high, it will be annoying to those who had a lot of points. And if it's too low, that's not very fair.","I think those that voted for low amounts of tax are a bit greedy, assuming they had a lot of points. If they didn't, I guess it's personal preference, but those who had a lot of points don't really need that many. I feel it's a bit unnecessary to have so many. It turned out OK, but those at the bottom didn't get that many points, so in general I think the voting decisions weren't too fair.",poor,3,R,1
1055,34.0,F,A,BA,NR,-1.0,6.0,30.0,15.0,-1.0,1.0,-1.0,0.0,Tried to maximize my score,Not great but understandable,poor,3,R,1
1056,33.0,F,W,BA,CA,0.0,3.0,60.0,20.0,2.0,1.0,1.0,1.0,i was trying to match the others,it was very spread out,poor,3,P,1
1057,23.0,M,W,MA,NR,-1.0,4.0,50.0,5.0,1.0,1.0,1.0,0.0,I wanted to try to stay middle ground for a lot of the choices throughout it.,They were likely voting logically but without the full set of data,poor,3,R,1
1058,44.0,F,A,BA,MU,0.0,6.0,10.0,20.0,1.0,1.0,-1.0,-1.0,I wanted to try to match what others might be voting.,"I feel alright about it, I think most of us were in the same state of mind so the result was ok.",poor,3,P,1
1059,31.0,F,W,HS,NR,0.0,3.0,40.0,6.0,1.0,1.0,1.0,1.0,I tried to choose what I thought was majority.,I think they were aligned with mine.,poor,3,P,1
1060,44.0,F,W,AS,O,1.0,2.0,57.0,7.0,1.0,1.0,1.0,0.0,Tried to get closer to how others were voting.,"I think they aimed towards a lower percentage, so I followed suit.",poor,3,P,1
1061,48.0,M,W,HS,CA,-2.0,3.0,40.0,20.0,-2.0,-2.0,1.0,0.0,I was interested in setting the tax as high as possible early on in order to take as much as possible from those given a high allocation.,I feel they could have voted for higher taxes as most of us were given very low numbers to start.,poor,3,P,1
1062,45.0,F,W,BA,CA,0.0,6.0,25.0,30.0,2.0,1.0,2.0,2.0,I went with what I felt was correct,I felt they were also going with what they thought was correct,poor,3,R,1
1063,46.0,F,W,AS,NR,-2.0,5.0,20.0,20.0,-2.0,-2.0,-2.0,-2.0,"I would have voted for 100% regardless of my initial assigned points.  I'm always focused on what's best for the group as a whole, what benefits everyone in it the most.","Probably many people made their choices based on selfish motivations, which is understandable.",poor,3,P,1
1064,43.0,F,W,BA,PR,0.0,4.0,40.0,10.0,0.0,-1.0,-1.0,0.0,It seemed like a fair amount.,I think it was their right to vote how they saw fit.,poor,3,P,1
1065,34.0,M,A,MA,CA,0.0,6.0,30.0,25.0,-1.0,-1.0,0.0,-1.0,I tried to pick a percentage that was equitable while also not taking away too much from myself.,They were very aggressive and offered high tax rates,poor,3,P,1
1066,25.0,M,A,BA,CA,-1.0,3.0,60.0,20.0,-2.0,0.0,-1.0,0.0,"I started off with a low score, so I voted for higher tax rates",I felt that they voted fairly,poor,3,P,1
1067,,,,,,,,,,,,,,,,poor,3,P,1
1068,36.0,F,B,AS,NR,-2.0,6.0,15.0,20.0,1.0,0.0,1.0,0.0,to determine how people will change ideas based on others,I don't know them enough to say,poor,3,P,1
1069,22.0,M,W,BA,NR,0.0,3.0,40.0,5.0,2.0,-2.0,2.0,-2.0,Maximize personal gains,"They seemed to be really passive, I would've been proposing 100% tax were I in the lowest third",poor,3,R,1
1070,40.0,M,W,BA,NR,0.0,4.0,60.0,15.0,1.0,-1.0,-1.0,-1.0,I was trying to compromise between what I thought was fair and the direction others in the group were going.,I think they pushed the tax rate up way too far.  Those with higher initial scores paid a disproportionate amount in taxes while receiving no benefit.,poor,3,R,1
1071,,,,,,,,,,,,,,,,poor,3,P,1
1072,37.0,M,W,MA,PR,1.0,,20.0,4.0,-1.0,0.0,-1.0,0.0,I went with what I thought that was more adequate.,"I'm fine with it, they have their won reasons.",poor,3,R,1
1073,20.0,F,A,HS,BU,-1.0,4.0,30.0,5.0,-1.0,-2.0,-1.0,-1.0,I had decided that since I did not have a lot that I could put in a high percentage.,I feel fine with whatever they have chosen as it is personal choice.,rich,4,P,1
1074,30.0,M,W,BA,NR,-2.0,6.0,10.0,20.0,2.0,-1.0,-1.0,0.0,"I wanted to earn the highest bonus for myself, so I always voted for a tax rate of 0%.",I think they made the tax rate too high and I don't approve of their decision.,rich,4,R,1
1075,,,,,,,,,,,,,,,,rich,4,P,1
1076,,,,,,,,,,,,,,,,rich,4,R,1
1077,29.0,F,W,BA,NR,-1.0,3.0,40.0,45.0,1.0,-1.0,1.0,0.0,I was trying to be the most fair.,I think it worked out pretty well.,rich,4,P,1
1078,48.0,M,W,BA,MO,1.0,6.0,25.0,5.0,-2.0,0.0,-1.0,0.0,"I was initially given very little, so I wanted a higher ""tax""",Most were initially given more so likely wanted a lower tax and were also not super happy.,rich,4,P,1
1079,28.0,M,W,HS,NR,-1.0,5.0,60.0,15.0,1.0,-1.0,1.0,-1.0,I wanted the biggest bonus,I feel indifferent about the others choices,rich,4,R,1
1080,44.0,M,W,MA,CA,-2.0,5.0,20.0,25.0,2.0,1.0,-1.0,-1.0,,,rich,4,R,1
1081,,,,,,,,,,,,,,,,rich,4,P,1
1082,29.0,M,W,HS,NR,1.0,1.0,60.0,5.0,0.0,0.0,0.0,0.0,I tried to make it fair,I think they probably did fine,rich,4,R,1
1083,74.0,M,W,AS,NR,-1.0,3.0,50.0,45.0,-1.0,-1.0,1.0,0.0,Wanted a fair tax rate.,Surprised that they voted for over 50% rate.,rich,4,P,1
1084,,,,,,,,,,,,,,,,rich,4,P,1
1085,,,,,,,,,,,,,,,,rich,4,R,1
1086,,,,,,,,,,,,,,,,rich,4,R,1
1087,59.0,M,W,MA,PR,0.0,6.0,10.0,19.0,0.0,1.0,-1.0,0.0,I was trying to use what other people were voting and try to use that,better than I,rich,4,R,1
1088,,,,,,,,,,,,,,,,rich,4,P,1
1089,60.0,F,W,BA,PR,-1.0,2.0,80.0,20.0,-2.0,-2.0,-1.0,0.0,"If everyone had done what I did, all the money would have been distributed equally, and that would have been cool.","As expected. Also, just so you know, my answer about what the tax rate should be is not my actual feeling. I think the tax rate should be progressive, going up the more income one has.",rich,4,P,1
1090,,,,,,,,,,,,,,,,rich,4,P,1
1091,31.0,M,A,BA,BU,0.0,3.0,45.0,6.0,-1.0,-1.0,-1.0,-2.0,I tried to keep the tax rate lower to make it fair for all participants,I felt that their voting decision only benefited themselves and not so much others.,rich,4,P,1
1092,,,,,,,,,,,,,,,,rich,4,P,1
1093,47.0,F,H,HS,NR,-2.0,4.0,20.0,5.0,0.0,0.0,-1.0,-1.0,I wanted to get a bonus,I feel they did their best.,rich,4,R,1
1094,39.0,F,W,HS,NR,-2.0,4.0,50.0,3.0,0.0,0.0,0.0,0.0,I wanted to stay somewhere in the middle with my selections,I think they went high,rich,4,P,1
1095,37.0,M,W,HS,O,0.0,1.0,85.0,10.0,-1.0,-1.0,1.0,-1.0,Equality,Relatively fair,rich,4,P,1
1096,44.0,M,W,HS,NR,-2.0,1.0,85.0,35.0,-1.0,0.0,-1.0,-1.0,I had a rather low score so the more points destributed benefited me and others.,I felt they could have went for a higher amount.,rich,4,P,1
1097,60.0,M,W,MA,NR,0.0,4.0,25.0,20.0,2.0,2.0,2.0,1.0,To maximize my retained wealth,It's classic prisoners dilemma. Those with lower income vote for a higher tax rate and vice versa.,hete,5,R,1
1098,50.0,F,W,MA,NR,-2.0,6.0,13.0,15.0,0.0,1.0,-1.0,-1.0,A bit of experimentation,It was an interesting outcome. Not what I was expecting.,hete,5,P,1
1099,41.0,F,B,MA,PR,-2.0,5.0,35.0,8.0,-1.0,-1.0,0.0,1.0,I was focused on increasing my score,I have no thoughts about that,hete,5,P,1
1100,34.0,M,W,BA,PR,1.0,3.0,45.0,20.0,-2.0,-2.0,-2.0,-2.0,Trying to get it to be evened out,It was their choice,hete,5,P,1
1101,,,,,,,,,,,,,,,,hete,5,R,1
1102,30.0,M,W,BA,NR,-2.0,2.0,75.0,10.0,2.0,-1.0,2.0,-1.0,My motivation was to try and have the most points as possible for myself.,"Good, I understand why someone with lower points would want to have a higher tax rate.",hete,5,R,1
1103,68.0,M,W,BA,CA,2.0,2.0,80.0,5.0,1.0,1.0,1.0,1.0,It was based upon what I felt was fair.,Neutral,hete,5,P,1
1104,34.0,M,W,AS,NR,-2.0,4.0,60.0,50.0,-2.0,-2.0,-2.0,-2.0,To average out the amount everyone received.,They were selfish.,hete,5,P,1
1105,,,,,,,,,,,,,,,,hete,5,P,1
1106,27.0,M,W,HS,NR,-2.0,3.0,30.0,99.0,2.0,-2.0,-1.0,-2.0,"I voted 100% in hopes that I, as one of the top three luckiest point recipients, would be able to skew the tax rate higher to ensure fair outcomes for everyone.","I am disappointed. For the outcomes to still be so unfair, this means that the people with lower points than me must have been voting against their own interests. I wish that I could have talked with them and organized an overall higher vote.",hete,5,R,1
1107,22.0,F,A,HS,,-1.0,3.0,65.0,15.0,1.0,-2.0,0.0,-1.0,I was trying to predict what others were going to vote.,It was a fair vote. I'm surprised the tax wasn't high every round.,hete,5,R,1
1108,38.0,F,H,AS,NR,-2.0,5.0,20.0,35.0,0.0,0.0,0.0,0.0,Seemed to give the benefit to cost ratio.,Don't really have an opinion one way or another. I like that we generally agreed.,hete,5,P,1
1109,25.0,M,W,HS,NR,-2.0,5.0,21.0,25.0,2.0,-1.0,1.0,-1.0,I wanted to maximize the amount of money I had at the end. I did not particularly care how much the others got.,"They acted reasonably, with the 35% rate, which is similar to what the top US marginal rate is. It evened things out a bit while still leaving those who got lucky with the majority of their winnings.",hete,5,R,1
1110,,,,,,,,,,,,,,,,hete,5,P,1
1111,29.0,F,B,AS,PR,-1.0,2.0,70.0,5.0,0.0,1.0,1.0,0.0,I wanted to raise my score but now lower the other participants score too much.,People usually go with whatever will help them benefit and I have no issues with their voting decisions.,hete,5,P,1
1112,48.0,M,W,AS,PR,1.0,6.0,10.0,15.0,2.0,0.0,1.0,0.0,I wanted to keep the taxes as low as possible without being ridiculous,I feel they were trying to get as much out of it as I was so I am neutral toward them.,hete,5,R,1
1113,26.0,F,W,AS,NR,-2.0,1.0,90.0,20.0,-2.0,-2.0,-2.0,-2.0,I was trying to get a higher tax rate because everyone else’s scores were way higher than mine.,I think it was unfair. People voted for low tax rates to keep their high scores.,hete,5,P,1
1114,28.0,M,A,BA,NR,-1.0,4.0,40.0,20.0,2.0,-1.0,1.0,1.0,I wanted to pay into it less so I could keep more of my points.,They were doing what they thought were fair and what benefitted them the most. I do not fault them for that,hete,5,R,1
1115,40.0,F,W,BA,PR,-1.0,5.0,50.0,10.0,1.0,1.0,1.0,1.0,Keep the tax rate in a range to yield most funds and average out.,I think we were all trying to do the same thing in decision making.,hete,5,R,1
1116,36.0,M,W,BA,NR,-1.0,4.0,30.0,35.0,1.0,0.0,1.0,1.0,I wanted to increase my benefit from the tax,Overall it seemed fair,hete,5,P,1
1117,,,,,,,,,,,,,,,,hete,5,P,1
1118,55.0,F,H,HS,NR,0.0,3.0,80.0,35.0,0.0,0.0,1.0,0.0,I felt 35% and 40% was a far amount,satisfied,hete,5,P,1
1119,30.0,F,W,HS,NR,-1.0,2.0,75.0,10.0,-1.0,-1.0,1.0,1.0,I wanted to pick something that wasn't too high or low and was likely what other peoples were picking.,I feel good because I ended up earning more points in the end than losing since my initial points were so low compared to some others.,hete,5,P,1
1120,25.0,F,W,HS,NR,0.0,2.0,80.0,8.0,-2.0,-1.0,-2.0,-1.0,I had a very low score,Low people voted for a high bracket and high people voted for a low bracket,hete,5,P,1
1121,39.0,F,W,BA,PR,-2.0,4.0,40.0,10.0,-1.0,-1.0,0.0,-1.0,To make those that had more pay their fair share.,They were a little gentler in the taxing than I would have preferred.,homo,6,P,1
1122,50.0,M,W,HS,PR,-1.0,3.0,15.0,20.0,0.0,2.0,1.0,2.0,I determined that the average rate was steadily increasing and was always slightly higher than my estimate so I always increased my estimate assuming the trend would continue.,I feel that they also kept along with the rates as they went along adjusting their estimates along those lines.,homo,6,P,1
1123,,,,,,,,,,,,,,,,homo,6,R,1
1124,24.0,M,W,AS,CA,1.0,4.0,30.0,10.0,-2.0,-1.0,0.0,0.0,To get myself a higher bonus,They’re their decisions not mine.,homo,6,P,1
1125,55.0,M,W,BA,NR,-2.0,4.0,55.0,15.0,-1.0,-1.0,-1.0,1.0,I went with a tax rate somewhere between the US and most European countries.,We were pretty much aligned with each other,homo,6,P,1
1126,49.0,M,W,BA,PR,-1.0,5.0,35.0,20.0,0.0,-1.0,0.0,-1.0,I was trying to maximize my bonus,I am indifferent,homo,6,P,1
1127,22.0,F,A,BA,O,-2.0,5.0,30.0,10.0,0.0,0.0,1.0,1.0,So that there was more of a median,Felt somewhat satisfied-there was a pretty good range with the median,homo,6,R,1
1128,32.0,M,W,AS,PR,0.0,3.0,25.0,10.0,1.0,1.0,0.0,1.0,I wanted to the lowest tax rate and still have it be fair.,I thought the other group members voted fairly and similar to mine.,homo,6,R,1
1129,31.0,M,B,BA,NR,-2.0,3.0,45.0,20.0,2.0,0.0,1.0,0.0,I wanted to lose the least amount of points possible.,The other group members wanted to make things a little more fair among the group.,homo,6,R,1
1130,48.0,M,W,BA,NR,-2.0,3.0,55.0,23.0,2.0,-1.0,2.0,0.0,"I began with what was in my best interest, not knowing how others would vote.  As the rate was established, I tried to move in the direction of the other participants, while trying to influence the rate lower (to find a median).  In 'real life' my approach and attitudes towards taxes would be different.","I have no opinion of them, because I don't know them.  I have no problems with how anyone voted.  They have the job/were assigned the duty to collectively arrive at a tax rate and we did.  Again, my approach and preferred rate would be different in a real world situation.",homo,6,R,1
1131,49.0,M,W,BA,PR,1.0,6.0,33.0,15.0,0.0,0.0,,0.0,i stayed in line with the group as much as possible,seems fine,homo,6,P,1
1132,59.0,M,W,BA,PR,2.0,5.0,25.0,10.0,-1.0,1.0,0.0,1.0,my benefit,we played the cards we were dealt,homo,6,P,1
1133,46.0,F,H,AS,NR,-1.0,3.0,60.0,30.0,0.0,0.0,1.0,0.0,30 percent is the amount in tax that I wouldbe comfortable with.,Confused,homo,6,P,1
1134,37.0,F,W,AS,NR,-2.0,4.0,70.0,30.0,-2.0,-2.0,-2.0,-2.0,I was trying to distribute the funds more evenly among participants,I was a little disappointed by the decisions made by the other voters,homo,6,P,1
1135,37.0,M,W,HS,NR,-1.0,4.0,60.0,0.0,-1.0,2.0,-1.0,-1.0,What i thought was a reasonable tax amount,Everyone seemed to keep the number low,homo,6,R,1
1136,44.0,M,A,MA,CA,-2.0,1.0,85.0,28.0,-2.0,-2.0,-2.0,-2.0,"A couple players were allocated vastly more, and there really isn't a reason for it, such as some demonstration of effort. So it makes sense to distribute it equally between participants, so made a choice to reflect that.","I'm very surprised that, given so many who were given so little, there wasn't a larger push to spread the wealth.",homo,6,P,1
1137,49.0,M,W,HS,CA,2.0,3.0,50.0,5.0,0.0,0.0,0.0,0.0,Trying to get my score higher,Was typical I think and everyone had same idea,homo,6,P,1
1138,28.0,M,A,BA,NR,-1.0,6.0,30.0,15.0,-2.0,-2.0,-2.0,-2.0,Higher points,Selfish,homo,6,P,1
1139,31.0,M,W,HS,NR,-2.0,3.0,50.0,30.0,2.0,-2.0,2.0,-1.0,I felt bad for the people with very low scores and I wanted to help them out.,"I think the median settling on 30 percent was fair, even though I personally would have liked to see it higher.",homo,6,R,1
1140,,,,,,,,,,,,,,,,homo,6,P,1
1141,36.0,F,A,BA,NR,-2.0,6.0,15.0,,1.0,1.0,1.0,1.0,I tried to balance the benefit and tax impact favorably while also providing reasonable benefits to those with lower scores.,"I think 30% is pretty equitable, with all things considered.  The majority of the participants started with larger numbers, so I think the 30% is probably higher than I would have guessed.",homo,6,R,1
1142,31.0,M,W,AS,NR,0.0,5.0,30.0,30.0,-1.0,-1.0,0.0,0.0,I had a lower score so it seemed advantageous to me to select a higher tax rate.,Might've been low considering the outlier amount by a few members.,homo,6,P,1
1143,31.0,F,W,HS,NR,-2.0,4.0,85.0,35.0,2.0,2.0,2.0,2.0,"It seemed the most fair, not too high, nor to low.",I think for the most part we all cooperated well getting to our goal. I think most of them would be satisfied with the outcome.,homo,6,P,1
1144,27.0,M,W,BA,NR,-1.0,4.0,50.0,10.0,-2.0,-1.0,2.0,2.0,I wanted to keep more of my points,I understand why they did what they did.,homo,6,R,1
1145,40.0,F,W,MA,JE,1.0,5.0,43.0,22.0,-1.0,-1.0,-1.0,-1.0,"I tried to be unconcerned with what score others had. I put a rate that felt fair overall. Once I picked my initial rate, there was no reason for me to change it because it was what I felt was right no matter what.",I feel like those with a lower score wanted to keep increasing to a  higher rate to take from those with a higher score.,repr,7,P,1
1146,,,,,,,,,,,,,,,,repr,7,P,1
1147,47.0,F,W,BA,NR,-1.0,2.0,70.0,30.0,-2.0,-2.0,0.0,0.0,"Given how low my score was I didn't have anything to ""protect"". And on the assumption that the people with the highest scores would vote very low, I was unlikely to gain much either. So I decided to pretend I was a fairly neutral person, and just vote for the percentage I felt let the lucky people keep their good fortune, but help the most unfortunate of us a little bit. :)","I assume everyone acted in their own best interest, and that is mostly fine with me given there was no mechanism for us to come to an agreement together, or assure a equal distribution of points.",repr,7,P,1
1148,33.0,M,W,BA,NR,-2.0,4.0,45.0,21.0,1.0,-2.0,0.0,-2.0,Trying to spread out wealth,Seemed logical enough but didn't seem to make enough of an impact.,repr,7,R,1
1149,29.0,M,W,HS,NR,1.0,2.0,60.0,,0.0,0.0,,0.0,,,repr,7,P,1
1150,40.0,M,W,BA,CA,0.0,5.0,20.0,3.0,1.0,1.0,1.0,1.0,it really didn't change much. I just made slight adjustments lower because it seemed more fair.,I think it should have been lower.,repr,7,R,1
1151,31.0,F,W,BA,PR,1.0,4.0,40.0,20.0,2.0,0.0,-1.0,1.0,I wanted to be more fair.,"It was fine, nothing drastic",repr,7,R,1
1152,52.0,F,A,BA,NR,-2.0,2.0,80.0,20.0,2.0,-2.0,0.0,-2.0,I thought of it in terms of what seemed like a fair portion based upon the scores of the eight participants I was able to see.,I was surprised that group members chose a 38% tax rate as it only boosted low scores by a nominal amount.,repr,7,R,1
1153,30.0,M,W,MA,NR,-1.0,6.0,5.0,28.0,1.0,2.0,1.0,1.0,I wanted to keep the median low so I picked slightly higher than the lower bunch of numbers.,I feel good about the other group and their voting decisions except the very high ones.,repr,7,P,1
1154,26.0,M,W,BA,NR,-1.0,4.0,30.0,25.0,-2.0,-2.0,-2.0,-2.0,My initial score was very low and a high tax rate ensured my score would increase.,I think that the others should have voted for a higher tax rate than they did to level the playing field.,repr,7,P,1
